model,machine,time,operation,avg
FreshPRINCE,0.9985228951255539,0.9984984984984985,0.997060984570169,0.9980274593980738
DrCIF,0.9985228951255539,0.9977477477477478,0.9955914768552535,0.9972873732428518
STC,0.9918759231905465,0.9857357357357357,0.9823659074210139,0.986659188782432
TDE,0.9970457902511078,0.996996996996997,0.9977957384276267,0.9972795085585772
MR,0.9623338257016248,0.9587087087087087,0.9603232916972814,0.9604552753692049
MR-B,0.9977843426883308,0.9984984984984985,0.9985304922850845,0.9982711111573046
ITC,0.9977843426883308,0.9977477477477478,0.997060984570169,0.9975310250020826
