model,machine,time,operation,avg
FreshPRINCE,0.9803921568627451,0.9814814814814815,0.9615384615384616,0.9744706999608961
DrCIF,0.9803921568627451,0.9719626168224299,0.9411764705882353,0.9645104147578034
STC,0.8910891089108911,0.8041237113402062,0.7818181818181819,0.8256770006897597
TDE,0.9615384615384616,0.9629629629629629,0.9714285714285714,0.965309998643332
MR,0.03773584905660377,0.0,0.0,0.012578616352201257
MR-B,0.970873786407767,0.9814814814814815,0.9811320754716981,0.9778291144536487
ITC,0.970873786407767,0.9719626168224299,0.9622641509433962,0.9683668513911977
