model,machine,time,operation,avg
FreshPRINCE,0.9615384615384616,0.9636363636363636,0.9259259259259259,0.9503669170335837
DrCIF,0.9615384615384616,0.9454545454545454,0.8888888888888888,0.931960631960632
STC,0.8653846153846154,0.7090909090909091,0.7962962962962963,0.7902572735906069
TDE,0.9615384615384616,0.9454545454545454,0.9444444444444444,0.9504791504791505
MR,0.019230769230769232,0.0,0.0,0.006410256410256411
MR-B,0.9615384615384616,0.9636363636363636,0.9629629629629629,0.9627125960459293
ITC,0.9615384615384616,0.9454545454545454,0.9444444444444444,0.9504791504791505
