model,machine,time,operation,avg
FreshPRINCE,439.0323712825775,512.9834363460541,469.70517015457153,473.90699259440106
DrCIF,653.34570479393,633.4789576530457,618.0014533996582,634.9420386155447
STC,755.4272799491882,804.8851037025452,789.1789422035217,783.1637752850851
TDE,625.8540575504303,616.466775894165,727.0599639415741,656.4602657953898
MR,18.03301978111267,19.076319217681885,17.61611247062683,18.241817156473797
MR-B,27.077000617980957,29.447235345840454,26.22967529296875,27.58463708559672
ITC,145.59888768196106,139.81248807907104,130.97818803787231,138.79652126630148
