model,machine,time,operation,avg
FreshPRINCE,0.9807692307692308,0.9818181818181818,0.962962962962963,0.975183458516792
DrCIF,0.9807692307692308,0.9727272727272727,0.9444444444444444,0.9659803159803161
STC,0.9311562093820158,0.8533708265109987,0.8931749270310861,0.8925673209747003
TDE,0.9800011816140849,0.9723357300491207,0.9722222222222222,0.974853044628476
MR,0.5096153846153846,0.5,0.5,0.5032051282051282
MR-B,0.9803852061916579,0.9818181818181818,0.9814814814814814,0.9812282898304403
ITC,0.9803852061916579,0.9727272727272727,0.971839666751679,0.9749840485568698
